ID,Statement,Question_phi,Question_mistral,Label
3097.json,Texas leads the nation in the percentage of residents without health insurance.," ""What percentage of Texas residents, as of the most recent data, are uninsured compared to the national average?""", What is the current percentage of Texas residents without health insurance compared to other states?,true
1762.json,This administration and this Congress have been systematically cutting funding to border security since the Democrats took control., What evidence is there of systematic funding cuts to border security coinciding with Democratic control of Congress and the administration?,"1. ""Which administration and Congress have reduced border security funding since the Democrats took control?""",false
4373.json,A new college tuition reciprocity agreement with Minnesota makes college education more affordable for Wisconsin residents., What recent agreement has been made between Wisconsin and Minnesota to increase affordability of college education for residents?,"1. ""Has Wisconsin and Minnesota signed a new college tuition reciprocity agreement as stated in the headline?""",pants-fire
8214.json,Says Cory Booker supports late-term and partial-birth abortion and opposes safety regulations., Does Cory Booker truly support late-term and partial-birth abortion and oppose safety regulations according to verified sources?," **""Has New Jersey Senator Cory Booker publicly expressed support for late-term and partial-birth abortions, and opposed safety regulations in abortion practices?""**",half-true
6462.json,Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns., What event marks Mitt Romney as the first major party candidate for U.S. president in modern times not to release at least 12 years of tax returns?,"1. ""How many years of tax returns have Mitt Romney released as a major party candidate for US presidency in modern times?"" (to check if he has released 12 years or less)",false
4479.json,"In the month of July alone, EU exports to South Korea increased by over 36 percent. A lot of that is our market share. Those are our farmers and our service providers who are suffering."," What percentage increase in EU exports to South Korea occurred in July, and how does this impact local farmers and service providers?","1. ""What was the percentage increase in EU exports to South Korea in July compared to the previous month?""",half-true
1532.json,"Gov. Rick Perry spent over a million dollars on D.C. lobbyists asking for more federal money and lives in a luxury house that costs taxpayers $10,000 a month."," What evidence is there that Governor Rick Perry spent over a million dollars on D.C. lobbyists for federal money and lives in a luxury house costing taxpayers $10,000 a month?","1. ""Did Texas Governor Rick Perry spend over a million dollars on D.C. lobbyists for federal funding?""",mostly-true
6131.json,"As Virginia lost over 65,000 jobs, (Tim) Kaine put partisan ambitions first by serving as DNC chairman during the last year of his governorship.", How does the number of jobs lost in Virginia correlate with Tim Kaine's tenure as DNC chairman during his last year as governor?,"1. ""Did Virginia lose over 65,000 jobs during the last year of Tim Kaine's governorship?""",half-true
366.json,The DNC says McCain flip-flopped on whether the Iraq War would be easy., What evidence supports the claim that McCain changed his stance on the ease of the Iraq War according to the DNC?,"1. ""Did John McCain change his position on the ease of the Iraq War before and after his 2008 presidential campaign, according to the DNC?""",half-true
5870.json,Says Ohio law gives tax breaks to rich people who own private jets.," ""Does a search result confirm that the Ohio law provides tax breaks specifically for wealthy individuals who own private jets?""",Does the Ohio tax code specifically provide tax breaks for private jet owners among the wealthy?,mostly-true
2469.json,"Says Zack Space voted for budgets and debt, energy taxes and the stimulus, and we still lost more than 2.5 million jobs."," Does the claim that Zack Space voted for budgets and debt, energy taxes and the stimulus correlate with an increase in job loss of more than 2.5 million?","1. ""Did Rep. Zack Space vote for budgets and debt, energy taxes, and the stimulus bill, resulting in over 2.5 million job losses?""",half-true
6903.json,Says Paul Ryans budget plan ends Medicare., How does Paul Ryan's budget plan propose to change Medicare according to Google search results?,"1. ""Does Paul Ryan's budget plan propose ending Medicare as we know it?""",pants-fire
12227.json,"In every ethics case that has resulted in a formal sanction, theres been an investigative subcommittee thats been established first.", What evidence supports the claim that an investigative subcommittee is established in every ethics case resulting in a formal sanction?,"1. ""How many ethics cases resulting in formal sanctions had an investigative subcommittee established prior to the sanction?""",half-true
6308.json,Says New Hampshire has the third-highest property tax in the country., Which search query determines if New Hampshire indeed has the third-highest property tax in the country?," What is the rank of New Hampshire in terms of property tax by state, according to reliable sources?",true
724.json,"Obama's tax plan cuts taxes ""for 95 percent of all working families.""", What evidence supports that Obama's tax plan cuts taxes for 95 percent of all working families?,"1. ""What percentage of working families received tax cuts according to Obama's tax plan?""",true
13145.json,Says Colorado Democraticcongressional candidate MorganCarroll racked up $11 billion in new spending in the state Legislature., What evidence supports the claim that Colorado Democratic congressional candidate Morgan Carroll racked up $11 billion in new spending in the state Legislature?,"1. ""Did Colorado Democratic congressional candidate Morgan Carroll contribute or authorize $11 billion in new spending during her time in the state Legislature?""",barely-true
11617.json,59 percent of Americans today believe that Barack Obama is still a Muslim., What percentage of Americans currently hold the belief that Barack Obama is still a Muslim?, What percentage of Americans in 2023 believe Barack Obama is still a Muslim? (Use reliable sources for polling data),false
6853.json,Carol Shea-Porter wants to increase taxes on small business and job creators., How can it be verified that Carol Shea-Porter indeed proposed a policy to increase taxes specifically on small businesses and job creators?,"1. ""Has Carol Shea-Porter publicly proposed a tax increase specifically on small businesses and job creators?""",false
176.json,"People were hopeless. Sixty percent of the population, 70 percent of the population wanted to live somewhere else. . . . By the time I left, 70 percent wanted to stay.", What percentage of the population wanted to live somewhere else before and after the speaker's departure?,1. What was the percentage of the population wanting to leave and later wanting to stay during the specified time frame in the given headline?,barely-true
5329.json,A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.," Which specific bill aims to delay the start of classes until Labor Day, potentially shaving 5 full weeks off the school year?","1. ""Does passing the bill delaying school start until Labor Day allow school districts to shorten the school year by 5 weeks?""",true
3469.json,On whether the United States should intervene in Libya.," ""Does the Google search result confirm the stance on the United States' potential intervention in Libya?""", What is the specific context or reason behind the question of United States intervention in Libya mentioned in the headline?,false
5705.json,99.97 percent of the kids live in poverty that attend Cleveland public schools., What percentage of kids living in poverty attend Cleveland public schools according to a credible source or government statistic?," What is the percentage of children living in poverty in Cleveland public schools, according to reliable sources?",half-true
2582.json,"John Kitzhaber created 128,000 new jobs while governor."," What evidence supports the claim that John Kitzhaber created 128,000 new jobs during his tenure as governor?","1. ""How many new jobs were created under John Kitzhaber's governorship?"" (search for: ""John Kitzhaber new jobs created"")",half-true
7659.json,Says Texas ranks 49th nationally in what we are doing to support our per-pupil investment in education in the state.," ""Is Texas truly ranked 49th nationally in per-pupil investment in education?""",What is Texas' ranking in per-pupil education spending nationally?,mostly-true
11073.json,"Despite keeping distance from national media interviewers, I did local press all along, the last three months.", What did the individual consistently do with the press over the last three months despite avoiding national media interviews?,"1. ""Did [Name] give any local interviews in the last three months, despite avoiding national media?""",barely-true
8510.json,"What we said was, you can keep (your plan) if it hasnt changed since the law passed."," ""Does the statement 'you can keep your plan if it hasn't changed since the law passed' accurately reflect the provisions of the law in question?""","1. ""Has (specific plan name) remained unchanged since the related law was passed?""",pants-fire
12045.json,"In 2006, Bernie Sanders voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants, and then he sided with those Republicans to stand with vigilantes known as Minutemen who were taking up outposts along the border to hunt down immigrants.", What specific legislation did Bernie Sanders vote in favor of in 2006 that involves indefinite detention for undocumented immigrants?,"1. ""Did Bernie Sanders vote with hard-line Republicans for indefinite detention for undocumented immigrants in 2006 and support the Minutemen border vigilantes?""",mostly-true
7942.json,"Says Florida didnt offer special incentives to Deutsche Bank, which announced it will add 300 jobs in Florida.", What evidence is there to confirm that Florida did not provide special incentives to Deutsche Bank for the addition of 300 jobs in the state?,"1. ""Did Florida government officially deny offering special incentives to Deutsche Bank for their job expansion in Florida?""",pants-fire
12473.json,Says she was the first in her family to go to a four-year college.," ""Has anyone else in her family attended a four-year college before her?""","1. ""Who claims to be the first in their family to attend a four-year college and can I find supporting evidence of this?""",pants-fire
8005.json,"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money.", What percentage of Egyptians expressed a desire not to receive American financial aid according to the Gallup poll conducted last year in Egypt?,"1. ""Did a Gallup poll conducted in Egypt last year reveal that 70% of Egyptians do not want foreign aid?""",true
195.json,"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.", What percentage did the FBI's crime statistics show violent crime was reduced in Massachusetts during your administration?," ""Does the FBI's crime statistics report a 7 percent reduction in violent crime during the administration in question in Massachusetts?""",true
1768.json,"Scott Maddox has run ""losing campaigns for 3 of Florida's 4 available cabinet positions."""," ""Did Scott Maddox indeed campaign for and lose three of Florida's four available cabinet positions as stated?""","1. ""Has Scott Maddox run losing campaigns for three of Florida's four cabinet positions as stated in the headline?""",false
9196.json,Americans spend 6.1 billion hours a year on tax preparation., What is the source and statistic provided for Americans spending 6.1 billion hours a year on tax preparation?,"1. ""How many hours do Americans collectively spend on tax preparation each year?""",true
8957.json,The budget I managed at the Department of Education was more than $60 million., What is the exact budget amount managed by the individual at the Department of Education?,"1. ""What is the reported budget managed by the Department of Education, exceeding $60 million?""",mostly-true
13247.json,"We are now, for the first time ever, energy independent."," ""Has there been a confirmation or announcement of reaching energy independence for the first time in history according to a reliable source reported on or accessible through a quick Google search?""","1. ""Has the United States achieved energy independence as of [current date]?"" (Use ""[current date]"" for the most recent applicable date.)",false
5659.json,"Last year, Exxon pocketed nearly $4.7 million every hour.", What evidence or financial reports confirm Exxon's earnings of nearly $4.7 million per hour for the last year?,"1. ""How much revenue did Exxon Make hourly in the previous year?""",true
1214.json,"AARP is ""the largest reseller of insurance in the country"" and ""has a vested interest in seeing that the market for reselling supplemental insurance expands.""", Does the AARP hold the position as the largest reseller of insurance in the country and have a vested interest in expanding the market for supplemental insurance reselling?,"1. ""What is the market position of AARP in terms of insurance reselling in the United States?"" [Answer should include ""largest"" or specific market share percentage]
2. Bonus: ""Does AARP have",half-true
4692.json,"Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions incorporated in the Obamacare legislation, purposely delayed so as not to confuse the 2012 re-election campaigns.", What are the actual Medicare monthly premiums for the years 2012 and 2014 as per the Obamacare legislation?,"1. ""What are the predicted Medicare monthly premiums for the years 2012 and 2014 according to Obamacare legislation?""",pants-fire
5325.json,"Right now, 50 percent of Florida students leaving high school cannot read at grade level.", What percentage of Florida students leaving high school are unable to read at grade level?,"1. ""What percentage of Florida high school graduates meet the grade-level reading proficiency in the latest standardized tests?""",mostly-true
4237.json,Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states., Which states did Republican Senator John McCain receive fewer votes in for president during the 2008 general election than he did in Cuyahoga County?,"1. ""How many votes did Republican Sen. John McCain receive in Cuyahoga County during the 2008 general election compared to his totals in seven specific states?""",true
13019.json,Marco Rubio voted against funding health clinics that provide critical care during this public health emergency (Zika)., Does the statement verify that Marco Rubio actually voted against funding health clinics providing critical care during the Zika public health emergency?,"1. ""Did Marco Rubio indeed vote against funding Zika health clinics?""",barely-true
12246.json,Youre in more trouble if you leave your pet in the car than if you leave your child in the car., What evidence supports the statement that leaving a pet in a car under certain conditions poses greater danger than leaving a child in a car?,"1. ""Is it legally more penalized to leave a pet unattended in a car compared to a child according to various state laws?""",half-true
2540.json,SaysPeter Kilmartin voted in favor of expanding the good behavior statute to sex offenders., What is the current voting record of Peter Kilmartin regarding the expansion of the good behavior statute for sex offenders?,"1. ""Did Rhode Island Attorney General Peter Kilmartin support the expansion of the good behavior statute to include sex offenders?""",false
4659.json,On letting Occupy Atlanta protesters stay in Woodruff Park., What official decision was made regarding Occupy Atlanta protesters staying in Woodruff Park?,"1. ""Was a decision made to allow Occupy Atlanta protesters to continue camping in Woodruff Park?""",true
13313.json,What I have put forward does not add a penny to the debt.," Does the statement ""What I have put forward does not add a penny to the debt"" accurately reflect a proposal that does not increase the existing debt?","1. Who made the statement ""What I have put forward does not add a penny to the debt?"" and what was the context of this statement? (context is important to ensure the accuracy of the claim)",half-true
10286.json,"There are more African American men in prison, jail, on probation or parole than were enslaved in 1850."," What statistical data supports the claim that there are more African American men in prison, jail, on probation, or parole than were enslaved in 1850?","1. ""How many African American men were in prison, jail, on probation or parole compared to the number enslaved in 1850?""",true
12813.json,"In first week as governor, Tim Kaine proposed a nearly $4 billion tax increase, $4 billion, including a tax increase on people earning as little as $17,000 a year."," What is the validity of the claim that Tim Kaine proposed a nearly $4 billion tax increase in his first week as governor, including a tax on people earning as little as $17,000 a year?","1. ""Did Tim Kaine propose a $4 billion tax increase in his first week as governor, affecting individuals earning $17,000?""",mostly-true
2474.json,"On Lee Fishers watch, almost nine out of 10 jobs that Ohio lost were lost to other states, not to other countries."," What percentage of Ohio's lost jobs went to other states, as highlighted by Lee Fischer's watch?","1. ""How many out of 10 jobs lost in Ohio were lost to other states according to Lee Fisher's statement?""",mostly-true
4153.json,Every president has raised the debt ceiling., Has each U.S. president historically increased the nation's debt ceiling during their terms?,"1. ""Has every president in US history formally requested an increase in the debt ceiling?""",mostly-true
3255.json,Limiting labor negotiations to only wages is how it is for the most part in the private sector., What results from limiting labor negotiations to only wages in the private sector according to recent Google search findings?,"1. ""What is the typical scope of labor negotiations in the private sector beyond wages?"" (To verify if limiting negotiations to only wages is the norm or an exception.)",false
9876.json,"Says on contraception, his plan is cheaper and easier for you than Sen. Mark Udalls", How does the plan mentioned in the headline compare to Senator Mark Udalls' approach in terms of cost and ease of use for contraception?,"1. ""Who proposes a cheaper and easier contraception plan than Sen. Mark Udalls, according to the given headline?""",barely-true
11681.json,The states have always defined marriage., Does a Google search confirm that states traditionally define the institution of marriage?,"1. ""Which states have historically defined marriage in law?""",half-true
10192.json,"Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.", What current transportation options and grocery store locations are available for City of Austin residents in Del Valle to Bastrop?,"1. ""Is there a lack of grocery stores in Del Valle, Austin, making residents drive to Bastrop for their shopping needs?""",false
545.json,"John McCain ""opposed legislation to fund levees and flood control programs, which he considers pork."""," Does John McCain officially oppose legislation funding levees and flood control programs, considering it pork?","1. ""Did John McCain actually oppose funding for levees and flood control programs as labeled in the headline?""",half-true
5688.json,"Mitt Romneys pledged to protect (oil companies) record profits and their billions in special tax breaks, too.", What evidence exists that Mitt Romney pledged to protect oil companies' record profits and their billions in special tax breaks?,"1. ""Did Mitt Romney promise to safeguard oil companies' profits and tax breaks?""",half-true
8897.json,Mark Warner voted for nearly $1 trillion in new taxes and $7 trillion in new debt.," ""Did Mark Warner actually vote for a package totaling nearly $1 trillion in new taxes and $7 trillion in new debt?""", what is the specific legislation or time frame in which Mark Warner allegedly voted for $1 trillion in new taxes and $7 trillion in new debt?,true
2464.json,State government spending will be increase 10.7 percent this year., What evidence confirms the state government's spending will increase by 10.7 percent this year?,What is the exact percentage increase in state government spending certified by the official budget report?,barely-true
7030.json,Says Democrats first proposed prohibiting the government from negotiating prices for prescription drugs in Medicare Part D and he had nothing to do with that provision in the law.," What evidence exists to confirm that Democrats first proposed prohibiting government negotiation of prescription drug prices in Medicare Part D, and this was not related to the individual's actions?","1. ""Did Democrats propose the prohibition of government negotiation of prescription drug prices in Medicare Part D before the law was passed?""",barely-true
10552.json,The FCCs net neutrality policy includes whatis essentially a massive tax increase., What evidence supports the claim that the FCC's net neutrality policy results in a massive tax increase?,"1. What is the specific amount or percentage increase in fees or charges imposed by the FCC's net neutrality policy as a ""tax""?",half-true
4552.json,The typical white male worker in this country is making in real terms what he was making in 1973 and the average worker is making what they were making in 1996.," What data supports the claim that the typical white male worker's real income in the current year matches that of 1973, and how does the average worker's current income compare to that of 1996?","1. ""What is the real-term income growth for the typical white male worker and the average worker respectively, compared to their incomes in 1973 and 1996?""",mostly-true
6433.json,"A United Nations arms treaty would almost certainly force the U.S. to create an international gun registry, setting the stage for full-scale gun confiscation.", What evidence supports the claim that a United Nations arms treaty would force the U.S. to create an international gun registry leading to full-scale gun confiscation?,"1. ""Does the UN arms treaty under discussion require member states to create an international gun registry?""",false
3095.json,More people die from medical misadventures than firearm accidents nationally and in Florida.," ""Is the statistic that more individuals die annually in the U.S. from medical errors compared to firearm incidents nationally and in Florida accurate?""","1. ""How many people on average die from medical misadventures compared to firearm accidents nationally and in Florida?""",mostly-true
5897.json,"When we took office, let me remind you, there was virtually no international pressure on Iran."," ""Is there evidence of international pressure on Iran prior to their office taking office?""","1. ""'When we took office' for which administration and what year, resulting in little international pressure on Iran?""",false
8822.json,The minimum wage is mostly an entry-level wage for young people., How can one determine if the minimum wage primarily serves as an entry-level wage for young individuals?,What percentage of minimum wage workers in the US are under the age of 25? (this question can help determine if a significant number of minimum wage workers are indeed young people),mostly-true
6926.json,Says six studies verify that the math adds up for Mitt Romneys tax plan., Which six studies confirm the accuracy of Mitt Romney's tax plan as depicted in the headline?,"1. ""What do the six studies specifically state about the accuracy of Mitt Romney's tax plan calculations?""",barely-true
10674.json,"In the United States, weve had 12 years in a row of wages declining.", What is the current trend of wage changes in the United States over the past 12 years?,"Question: ""Has the average wage in the United States decreased for 12 consecutive years?""",half-true
2328.json,Charlie Crist has six different positions on ObamaCare., What are the specific six different positions on ObamaCare held by Charlie Crist?,"1. ""How many different positions on ObamaCare has Charlie Crist taken?""",half-true
1352.json,"In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror."," ""Has there been a confirmed increase in apprehensions of extremists at the border region of Afghanistan and Pakistan with intentions of committing terrorism in the last few months?""","1. ""How many extremists from Afghanistan and Pakistan border region have been apprehended for terror activities in the last few months?""",mostly-true
679.json,"As governor, I've stood up to ... the big oil companies."," ""Has the governor publicly taken actions against big oil companies?""","1. ""Who is the governor stated to have opposed big oil companies in this headline?""",true
8094.json,"This year, were off to our best private-sector jobs growth since 1999.", What year did the news article claim marked the best private-sector jobs growth since 1999?,1. what is the current year's private-sector job growth rate compared to that of 1999?,mostly-true
5729.json,"Says abortion doctors are flying into this state, performing abortions and flying out.", What evidence or reports confirm that abortion doctors have traveled to this state to perform abortions and then departed immediately?,What is the name of the state where doctors are reportedly flying in for abortions and flying out?,false
5228.json,Speaker Gingrich for 20 years supported a federal individual mandate for health insurance., What does a Google search reveal about Speaker Gingrich's stance on a federal individual mandate for health insurance over the past 20 years?,"1. ""Did Speaker Gingrich advocate for a federal individual mandate for health insurance for at least 20 years, as stated in the headline?""",mostly-true
9842.json,There have been at least 100 shootings each year [Angel Taveras] has been mayor of Providence., How many shootings per year have occurred in Providence during Angel Taveras' tenure as mayor?,"1. ""How many shootings occurred in Providence, Rhode Island, during each year of Angel Taveras' mayoral tenure?""",mostly-true
2089.json,Maurice Ferre says Kendrick Meek has voted 98.6 percent of the time with the Democrat party., What percentage of the time has Kendrick Meek voted with the Democrat party according to Maurice Ferre?,"1. ""Has Maurice Ferre provided an accurate statement about Kendrick Meek's voting record with the Democratic party?""",true
10200.json,Weve created more jobs in the United States than every other advanced economy combined since I came into office., What evidence supports the claim of creating more jobs in the United States than every other advanced economy combined since the specified timeframe?,"1. ""How many jobs have been created in the United States since [Your Current President's Name] took office compared to other advanced economies?""",half-true
12908.json,One in four inmates is an illegal immigrant., What percentage of inmates in the population is made up of illegal immigrants according to recent statistics?,"What percentage of inmates in the United States are illegal immigrants, according to reliable sources?",barely-true
9831.json,Wisconsin is dead last in income growth among midwestern states during Gov. Scott Walkers term., What is the income growth ranking of Wisconsin among midwestern states during Governor Scott Walker's term?,What is the percentage change in median household income in Wisconsin compared to other Midwestern states during Gov. Scott Walker's term?,true
12414.json,"A three-cents-per-ounce soda tax in Philadelphia would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry.", What is the actual impact of a three-cents-per-ounce soda tax in Philadelphia on family-sustaining Teamster Union jobs and jobs in the beverage industry?,"1. ""How many family-sustaining jobs in the beverage industry could be lost due to a three-cents-per-ounce soda tax in Philadelphia, according to credible sources?""",false
1445.json,I have had the challenge during this administration to suspend no less than 37 public officials in about 36 months., Which specific information can confirm the number of public officials suspended within the stated timeframe under the mentioned administration?,"1. ""How many public officials have been suspended in the last 36 months during this administration?""",mostly-true
2132.json,Kendrick Meek was #1 in Florida in taking tobacco cash and then opposed a tax on cigars that would have helped pay for childrens health care., What evidence supports the claim that Kendrick Meek was #1 in Florida in receiving tobacco cash and opposed a tax on cigars that could have funded children's healthcare?,"1. ""How much tobacco cash did Kendrick Meek receive in Florida rankings?"" (Include the terms ""Kendrick Meek"", ""tobacco cash"", ""Florida"", and ""rankings"" in the search query",barely-true
3175.json,"Federal Reserve policies have led to a 69 percent rise in corn prices, 44 percent rise in wheat prices and 15 percent spike in sugar prices over the last year."," How does the reported percentage increase in corn, wheat, and sugar prices over the last year correlate to Federal Reserve policies?","1. ""Did Federal Reserve policies cause a 69% increase in corn prices, 44% rise in wheat prices, and 15% spike in sugar prices within the last year?""",barely-true
4064.json,On repeal of Wisconsins smoking ban," ""Did the smoking ban get permanently repealed in Wisconsin according to a quick search result?""","1. ""Was there recent legislative action to repeal the smoking ban in Wisconsin?""",false
3520.json,Ninety percent of Texans say they do not want the nursing homes to close. It polls higher than anything else., What percentage of Texans reportedly do not want nursing homes to close according to the latest poll?,"1. ""What percentage of Texans oppose the closing of nursing homes according to the latest poll?""",mostly-true
11744.json,"For the first time ever, we completely funded the critical needs waiting list so persons with unique abilities can get the help they need.", How many unique instances of total funding have been allocated to the critical needs waiting list for individuals with unique abilities?,"1. ""Has the critical needs waiting list for persons with unique abilities been fully funded for the first time ever?""",half-true
6493.json,"Paul Ryan got his start in politics, as a young staffer just out of college, working for then-Congressman John Kasichs Budget Committee.", Which evidence confirms Paul Ryan's political beginnings as a young staffer under John Kasich's Budget Committee?,"1. ""Was Paul Ryan an early staff member on John Kasich's Budget Committee in the 1990s?""",half-true
12201.json,Race to the Top grants require participating states to adopt the Common Core standards as a condition for receiving federal funding., Does adopting the Common Core standards as a condition for receiving Race to the Top grants apply to all participating states?," What is the specific requirement for states to receive Race to the Top grants, regarding the adoption of Common Core standards?",barely-true
11034.json,President Obama in November of last year wiped away (a program) that allows for shared fingerprinting for those who are behind bars so you know who is here legally and illegally., What specific program did President Obama eliminate in November of the previous year that pertains to fingerprinting for inmates to distinguish legal from illegal individuals?,"1. ""Did President Obama eliminate the program for shared fingerprinting among inmates in November 2021?""",half-true
486.json,"McCain sought the political support of minister John Hagee, ""who believes Hurricane Katrina was God's punishment for gay rights and called the Catholic Church 'the Antichrist' and a 'false cult.'"""," What evidence supports that John Hagee, the minister sought by McCain, publicly expressed beliefs that Hurricane Katrina was a divine punishment for gay rights, and that he labeled the Catholic Church as 'the Antich","1. ""Did John Hagee openly express beliefs about Hurricane Katrina and the Catholic Church as stated in the headline?""",true
4807.json,Says 51 percent of federal tax filers paid zero federal income tax.," ""Has a credible source verified that 51 percent of federal tax filers indeed paid zero in federal income tax?""","1. ""How many percent of federal tax filers paid zero federal income tax in the latest tax year?""",true
8366.json,"Because of the 2011 debt ceiling fight, the stock market lost 2,000 points."," What evidence is there from a 2011 stock market trend showing a loss of 2,000 points due to the debt ceiling fight?","1. ""Did the stock market lose approximately 2,000 points during the 2011 debt ceiling fight?""",mostly-true
4937.json,"Since Wisconsin Gov. Scott Walker took office, we are losing jobs at rates not seen in decades.", What is the trend of job loss in Wisconsin since Governor Scott Walker took office compared to previous decades?,"1. ""How have Wisconsin's employment numbers changed since Gov. Scott Walker took office?""",false
6979.json,"Says U.S. Senate rival Tammy Baldwin supports a tax increase that President Obama says would cost middle-class families $3,000 per year."," Does Tammy Baldwin publicly support a tax increase proposed by President Obama that would allegedly cost middle-class families $3,000 annually?","1. ""Did Tammy Baldwin truly express support for a tax increase that could cost middle-class families $3,000 annually according to President Obama's estimation?""",barely-true
8333.json,I would be the first Republican senator elected in New Jersey in 41 years., What is the name of the first Republican senator elected in New Jersey in 41 years?,"1. ""Has no Republican won the Senate seat in New Jersey since the last 41 years?""",true
10711.json,Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time., What are the official charges against Gaylord Nelson's daughter regarding her use of state time to discuss climate change?,"1. ""Did Wisconsins attorney general and state treasurer issue an order to the daughter of Earth Day founder Gaylord Nelson prohibiting climate change discussions on state time?""",true
3577.json,"Says unions take away hard-earned money of teachers, firefighters and police officers to play politics."," What evidence exists to support or refute the claim that unions divert teachers', firefighters', and police officers' hard-earned money for political purposes?","Who is making the statement that unions take away hard-earned money from teachers, firefighters, and police officers to play politics?",false
1284.json,President Bush never did one interview with the New York Times during his entire presidency., Does the New York Times archive contain no record of an interview with President Bush during his presidency?,"1. ""Did President Bush grant the New York Times an interview during his presidency?"" [search: ""President Bush New York Times interview history""]",false
1100.json,"14,000 Americans . . . lose their health insurance every single day.", How many Americans are reported to lose their health insurance every day according to the given headline?,"1. ""How many Americans lost their health insurance daily on average between [current year] and [previous year]?"" (Use specific years for accurate results.)",mostly-true
11947.json,"Mr. Trump is self-financing his campaign, so we dont have any donors."," ""Is Mr. Trump's campaign funded entirely through self-financing, with no external donations?""","1. ""Has Donald Trump completely self-financed his recent political campaign without any donations?""",false
3705.json,"Nearly 2,000 high schools - roughly 12 percent of all secondary schools in the United States - produce about half of the nations dropouts."," What percentage of U.S. secondary schools are producing about half of the nation's dropouts, according to the given headline?","1. ""How many U.S. high schools account for approximately 50% of dropouts, according to data?""",true
6358.json,"Embryonic stem cell research is at a dead end, with no one good example of a successful treatment.", What evidence supports the claim that embryonic stem cell research has no successful treatment examples as of the current date?,"1. ""Has there been any recent breakthrough in successful treatments using embryonic stem cell research?""",barely-true
9199.json,The U.S. spends more money on its military than the 16 biggest military budgets in the world combined., What is the total military expenditure of the U.S. compared to the combined military budgets of the 16 largest military spending nations?,"1. ""How much does the US military budget amount to compared to the total military budgets of the 16 biggest spending countries?""",half-true
13524.json,"Wisconsin has only one county, Dane, thats hand counting the votes in the 2016 presidential recount."," What is the unique situation with vote counting in Dane County, Wisconsin, during the 2016 presidential recount?","1. ""How many Wisconsin counties conducted manual recount of votes in the 2016 presidential election?""",pants-fire
13262.json,Says Libya Ambassador (Christopher) Stevens sent 600 requests for help in Benghazi., What evidence supports the claim that Libyan Ambassador Christopher Stevens sent 600 requests for help in Benghazi?,"1. ""Did Christopher Stevens, the Libyan Ambassador, make 600 requests for help in Benghazi?""",barely-true
7788.json,The Affordable Care Act is bringing the cost of health care in our country down., What evidence supports the claim that The Affordable Care Act is reducing healthcare costs in the country?,"1. ""Has the Affordable Care Act led to a decrease in average healthcare costs in the US?""",half-true
11346.json,Tens of thousands of Atlanta households pay more than 30 percent of their income towards rent., What percentage of income are tens of thousands of Atlanta households paying towards rent?,What is the number of Atlanta households paying over 30% of their income on rent according to reliable sources?,true
1603.json,"Rick Perry had planned to retire from the legislature until his best friend, David Weeks, and I talked him into switching parties and running for the GOP nomination for agriculture commissioner.", What evidence can confirm that Rick Perry was persuaded by David Weeks and another individual to switch parties and run for the GOP nomination for agriculture commissioner?,"1. ""Did Rick Perry's best friend, David Weeks, encourage him to switch parties and run for the GOP nomination for agriculture commissioner?""",mostly-true
5702.json,"As the usage [of synthetic marijuana] has dramatically increased, instances of violence, bodily harm and even death have risen with it."," What recent statistics or studies show a correlation between the increased usage of synthetic marijuana and the rise in instances of violence, bodily harm, and death?","1. ""Has there been a correlation between the increase in synthetic marijuana usage and reports of violence, bodily harm, and deaths?""",mostly-true
3886.json,"Out of 150,000 tenured teachers in the last 10 years, only 17 have been dismissed for incompetence.", What percentage of tenured teachers were dismissed for incompetence in the last 10 years based on the given number of dismissals and total teacher count?,"1. ""How many tenured teachers were dismissed for incompetence out of the total number of new tenured teachers in the last 10 years?""",mostly-true
3795.json,The Providence teacher contract is one of the longest in the country., What evidence confirms the Providence teacher contract's duration as one of the longest in the country?,"1. ""How does the length of the Providence teacher contract compare to other school districts in the country?""",false
8508.json,"In 1929, the Secretary of State shut down a program that was collecting information to protect America because it was unseemly, but that move led to millions and millions of deaths in World War II."," What was the program that the Secretary of State shut down in 1929, and how did its discontinuation relate to the casualties in World War II?","1. What specific program was shut down by the Secretary of State in 1929, and how did its termination contribute to deaths in World War II?",half-true
3838.json,Look at the debt that has been accumulated in the last two years. Its more debt under this president than all those other presidents combined., What is the cumulative national debt under the current president at the end of two years compared to the combined national debts of all other presidents?,"1. ""How does the total national debt under the current president compare to that of all previous presidents in the last two years?""",false
